date,product,demand
2025-03-18,Part-A101,116
2025-03-19,Part-A101,140
2025-03-20,Part-A101,144
2025-03-21,Part-A101,146
2025-03-22,Part-A101,145
2025-03-23,Part-A101,137
2025-03-24,Part-A101,122
2025-03-25,Part-A101,125
2025-03-26,Part-A101,146
2025-03-27,Part-A101,148
2025-03-28,Part-A101,147
2025-03-29,Part-A101,147
2025-03-30,Part-A101,126
2025-03-31,Part-A101,117
2025-04-01,Part-A101,133
2025-04-02,Part-A101,133
2025-04-03,Part-A101,126
2025-04-04,Part-A101,153
2025-04-05,Part-A101,139
2025-04-06,Part-A101,126
2025-04-07,Part-A101,124
2025-04-08,Part-A101,122
2025-04-09,Part-A101,137
2025-04-10,Part-A101,131
2025-04-11,Part-A101,143
2025-04-12,Part-A101,153
2025-04-13,Part-A101,129
2025-04-14,Part-A101,108
2025-04-15,Part-A101,115
2025-04-16,Part-A101,128
2025-04-17,Part-A101,148
2025-04-18,Part-A101,147
2025-04-19,Part-A101,137
2025-04-20,Part-A101,129
2025-04-21,Part-A101,125
2025-04-22,Part-A101,122
2025-04-23,Part-A101,132
2025-04-24,Part-A101,145
2025-04-25,Part-A101,154
2025-04-26,Part-A101,143
2025-04-27,Part-A101,136
2025-04-28,Part-A101,113
2025-04-29,Part-A101,118
2025-04-30,Part-A101,143
2025-05-01,Part-A101,142
2025-05-02,Part-A101,162
2025-05-03,Part-A101,154
2025-05-04,Part-A101,141
2025-05-05,Part-A101,115
2025-05-06,Part-A101,126
2025-05-07,Part-A101,133
2025-05-08,Part-A101,156
2025-05-09,Part-A101,165
2025-05-10,Part-A101,150
2025-05-11,Part-A101,131
2025-05-12,Part-A101,120
2025-05-13,Part-A101,131
2025-05-14,Part-A101,127
2025-05-15,Part-A101,153
2025-05-16,Part-A101,145
2025-05-17,Part-A101,149
2025-05-18,Part-A101,130
2025-05-19,Part-A101,120
2025-05-20,Part-A101,119
2025-05-21,Part-A101,135
2025-05-22,Part-A101,154
2025-05-23,Part-A101,161
2025-05-24,Part-A101,148
2025-05-25,Part-A101,142
2025-05-26,Part-A101,143
2025-05-27,Part-A101,123
2025-05-28,Part-A101,136
2025-05-29,Part-A101,138
2025-05-30,Part-A101,162
2025-05-31,Part-A101,155
2025-06-01,Part-A101,125
2025-06-02,Part-A101,128
2025-06-03,Part-A101,136
2025-06-04,Part-A101,140
2025-06-05,Part-A101,157
2025-06-06,Part-A101,154
2025-06-07,Part-A101,135
2025-06-08,Part-A101,140
2025-06-09,Part-A101,134
2025-06-10,Part-A101,133
2025-06-11,Part-A101,131
2025-06-12,Part-A101,144
2025-06-13,Part-A101,144
2025-06-14,Part-A101,151
2025-06-15,Part-A101,142
2025-06-16,Part-A101,128
2025-06-17,Part-A101,135
2025-06-18,Part-A101,132
2025-06-19,Part-A101,152
2025-06-20,Part-A101,143
2025-06-21,Part-A101,139
2025-06-22,Part-A101,140
2025-06-23,Part-A101,123
2025-06-24,Part-A101,137
2025-06-25,Part-A101,144
2025-06-26,Part-A101,173
2025-06-27,Part-A101,155
2025-06-28,Part-A101,135
2025-06-29,Part-A101,133
2025-01-01,Part-B202,162
2025-01-02,Part-B202,151
2025-01-03,Part-B202,154
2025-01-04,Part-B202,148
2025-01-05,Part-B202,138
2025-01-06,Part-B202,122
2025-01-07,Part-B202,133
2025-01-08,Part-B202,124
2025-01-09,Part-B202,154
2025-01-10,Part-B202,155
2025-01-11,Part-B202,145
2025-01-12,Part-B202,130
2025-01-13,Part-B202,121
2025-01-14,Part-B202,122
2025-01-15,Part-B202,122
2025-01-16,Part-B202,150
2025-01-17,Part-B202,164
2025-01-18,Part-B202,144
2025-01-19,Part-B202,139
2025-01-20,Part-B202,117
2025-01-21,Part-B202,118
2025-01-22,Part-B202,135
2025-01-23,Part-B202,144
2025-01-24,Part-B202,146
2025-01-25,Part-B202,151
2025-01-26,Part-B202,148
2025-01-27,Part-B202,121
2025-01-28,Part-B202,116
2025-01-29,Part-B202,146
2025-01-30,Part-B202,141
2025-01-31,Part-B202,146
2025-02-01,Part-B202,152
2025-02-02,Part-B202,133
2025-02-03,Part-B202,121
2025-02-04,Part-B202,130
2025-02-05,Part-B202,138
2025-02-06,Part-B202,168
2025-02-07,Part-B202,151
2025-02-08,Part-B202,141
2025-02-09,Part-B202,131
2025-02-10,Part-B202,124
2025-02-11,Part-B202,135
2025-02-12,Part-B202,126
2025-02-13,Part-B202,157
2025-02-14,Part-B202,152
2025-02-15,Part-B202,154
2025-02-16,Part-B202,135
2025-02-17,Part-B202,131
2025-02-18,Part-B202,127
2025-02-19,Part-B202,145
2025-02-20,Part-B202,167
2025-02-21,Part-B202,151
2025-02-22,Part-B202,148
2025-02-23,Part-B202,132
2025-02-24,Part-B202,140
2025-02-25,Part-B202,127
2025-02-26,Part-B202,136
2025-02-27,Part-B202,149
2025-02-28,Part-B202,156
2025-03-01,Part-B202,143
2025-03-02,Part-B202,133
2025-03-03,Part-B202,129
2025-03-04,Part-B202,130
2025-03-05,Part-B202,149
2025-03-06,Part-B202,152
2025-03-07,Part-B202,156
2025-03-08,Part-B202,151
2025-03-09,Part-B202,154
2025-03-10,Part-B202,122
2025-03-11,Part-B202,147
2025-03-12,Part-B202,134
2025-03-13,Part-B202,157
2025-03-14,Part-B202,155
2025-03-15,Part-B202,143
2025-03-16,Part-B202,142
2025-03-17,Part-B202,133
2025-03-18,Part-B202,128
2025-03-19,Part-B202,127
2025-03-20,Part-B202,152
2025-03-21,Part-B202,159
2025-03-22,Part-B202,150
2025-03-23,Part-B202,143
2025-03-24,Part-B202,144
2025-03-25,Part-B202,135
2025-03-26,Part-B202,148
2025-03-27,Part-B202,157
2025-03-28,Part-B202,168
2025-03-29,Part-B202,155
2025-03-30,Part-B202,143
2025-03-31,Part-B202,144
2025-04-01,Part-B202,134
2025-04-02,Part-B202,142
2025-04-03,Part-B202,159
2025-04-04,Part-B202,168
2025-04-05,Part-B202,155
2025-04-06,Part-B202,146
2025-04-07,Part-B202,124
2025-04-08,Part-B202,126
2025-04-09,Part-B202,140
2025-04-10,Part-B202,146
2025-04-11,Part-B202,160
2025-04-12,Part-B202,148
2025-04-13,Part-B202,148
2025-04-14,Part-B202,120
2025-04-15,Part-B202,145
2025-04-16,Part-B202,137
2025-04-17,Part-B202,147
2025-04-18,Part-B202,153
2025-04-19,Part-B202,167
2025-04-20,Part-B202,138
2025-04-21,Part-B202,135
2025-04-22,Part-B202,132
2025-04-23,Part-B202,144
2025-04-24,Part-B202,153
2025-04-25,Part-B202,160
2025-04-26,Part-B202,156
2025-04-27,Part-B202,152
2025-04-28,Part-B202,116
2025-04-29,Part-B202,147
2025-04-30,Part-B202,150
2025-05-01,Part-B202,154
2025-05-02,Part-B202,156
2025-05-03,Part-B202,160
2025-05-04,Part-B202,141
2025-05-05,Part-B202,119
2025-05-06,Part-B202,137
2025-05-07,Part-B202,155
2025-05-08,Part-B202,164
2025-05-09,Part-B202,156
2025-05-10,Part-B202,142
2025-05-11,Part-B202,137
2025-05-12,Part-B202,157
2025-05-13,Part-B202,122
2025-05-14,Part-B202,139
2025-05-15,Part-B202,161
2025-05-16,Part-B202,160
2025-05-17,Part-B202,151
2025-05-18,Part-B202,156
2025-05-19,Part-B202,125
2025-05-20,Part-B202,135
2025-05-21,Part-B202,148
2025-05-22,Part-B202,152
2025-05-23,Part-B202,150
2025-05-24,Part-B202,155
2025-05-25,Part-B202,155
2025-05-26,Part-B202,135
2025-05-27,Part-B202,136
2025-05-28,Part-B202,148
2025-05-29,Part-B202,157
2025-05-30,Part-B202,171
2025-05-31,Part-B202,149
2025-06-01,Part-B202,130
2025-06-02,Part-B202,120
2025-06-03,Part-B202,136
2025-06-04,Part-B202,156
2025-06-05,Part-B202,161
2025-06-06,Part-B202,159
2025-06-07,Part-B202,158
2025-06-08,Part-B202,142
2025-06-09,Part-B202,139
2025-06-10,Part-B202,146
2025-06-11,Part-B202,140
2025-06-12,Part-B202,141
2025-06-13,Part-B202,159
2025-06-14,Part-B202,146
2025-06-15,Part-B202,148
2025-06-16,Part-B202,127
2025-06-17,Part-B202,121
2025-06-18,Part-B202,143
2025-06-19,Part-B202,148
2025-06-20,Part-B202,175
2025-06-21,Part-B202,158
2025-06-22,Part-B202,147
2025-06-23,Part-B202,138
2025-06-24,Part-B202,143
2025-06-25,Part-B202,157
2025-06-26,Part-B202,156
2025-06-27,Part-B202,152
2025-06-28,Part-B202,148
2025-06-29,Part-B202,142
2025-01-01,Part-C303,113
2025-01-02,Part-C303,123
2025-01-03,Part-C303,127
2025-01-04,Part-C303,112
2025-01-05,Part-C303,105
2025-01-06,Part-C303,101
2025-01-07,Part-C303,112
2025-01-08,Part-C303,120
2025-01-09,Part-C303,141
2025-01-10,Part-C303,120
2025-01-11,Part-C303,125
2025-01-12,Part-C303,107
2025-01-13,Part-C303,115
2025-01-14,Part-C303,94
2025-01-15,Part-C303,105
2025-01-16,Part-C303,119
2025-01-17,Part-C303,110
2025-01-18,Part-C303,115
2025-01-19,Part-C303,100
2025-01-20,Part-C303,99
2025-01-21,Part-C303,104
2025-01-22,Part-C303,128
2025-01-23,Part-C303,132
2025-01-24,Part-C303,123
2025-01-25,Part-C303,112
2025-01-26,Part-C303,110
2025-01-27,Part-C303,88
2025-01-28,Part-C303,116
2025-01-29,Part-C303,122
2025-01-30,Part-C303,121
2025-01-31,Part-C303,114
2025-02-01,Part-C303,130
2025-02-02,Part-C303,106
2025-02-03,Part-C303,108
2025-02-04,Part-C303,89
2025-02-05,Part-C303,108
2025-02-06,Part-C303,125
2025-02-07,Part-C303,128
2025-02-08,Part-C303,116
2025-02-09,Part-C303,112
2025-02-10,Part-C303,90
2025-02-11,Part-C303,101
2025-02-12,Part-C303,115
2025-02-13,Part-C303,129
2025-02-14,Part-C303,134
2025-02-15,Part-C303,111
2025-02-16,Part-C303,95
2025-02-17,Part-C303,109
2025-02-18,Part-C303,105
2025-02-19,Part-C303,108
2025-02-20,Part-C303,138
2025-02-21,Part-C303,130
2025-02-22,Part-C303,130
2025-02-23,Part-C303,108
2025-02-24,Part-C303,116
2025-02-25,Part-C303,117
2025-02-26,Part-C303,112
2025-02-27,Part-C303,134
2025-02-28,Part-C303,134
2025-03-01,Part-C303,132
2025-03-02,Part-C303,100
2025-03-03,Part-C303,105
2025-03-04,Part-C303,111
2025-03-05,Part-C303,101
2025-03-06,Part-C303,117
2025-03-07,Part-C303,113
2025-03-08,Part-C303,119
2025-03-09,Part-C303,114
2025-03-10,Part-C303,112
2025-03-11,Part-C303,104
2025-03-12,Part-C303,128
2025-03-13,Part-C303,116
2025-03-14,Part-C303,116
2025-03-15,Part-C303,121
2025-03-16,Part-C303,112
2025-03-17,Part-C303,100
2025-03-18,Part-C303,87
2025-03-19,Part-C303,115
2025-03-20,Part-C303,117
2025-03-21,Part-C303,135
2025-03-22,Part-C303,125
2025-03-23,Part-C303,102
2025-03-24,Part-C303,97
2025-03-25,Part-C303,95
2025-03-26,Part-C303,115
2025-03-27,Part-C303,135
2025-03-28,Part-C303,123
2025-03-29,Part-C303,126
2025-03-30,Part-C303,105
2025-03-31,Part-C303,95
2025-04-01,Part-C303,103
2025-04-02,Part-C303,108
2025-04-03,Part-C303,123
2025-04-04,Part-C303,121
2025-04-05,Part-C303,138
2025-04-06,Part-C303,110
2025-04-07,Part-C303,96
2025-04-08,Part-C303,106
2025-04-09,Part-C303,116
2025-04-10,Part-C303,126
2025-04-11,Part-C303,136
2025-04-12,Part-C303,129
2025-04-13,Part-C303,106
2025-04-14,Part-C303,97
2025-04-15,Part-C303,103
2025-04-16,Part-C303,98
2025-04-17,Part-C303,116
2025-04-18,Part-C303,142
2025-04-19,Part-C303,137
2025-04-20,Part-C303,108
2025-04-21,Part-C303,107
2025-04-22,Part-C303,108
2025-04-23,Part-C303,142
2025-04-24,Part-C303,138
2025-04-25,Part-C303,131
2025-04-26,Part-C303,116
2025-04-27,Part-C303,98
2025-04-28,Part-C303,104
2025-04-29,Part-C303,100
2025-04-30,Part-C303,106
2025-05-01,Part-C303,124
2025-05-02,Part-C303,124
2025-05-03,Part-C303,138
2025-05-04,Part-C303,118
2025-05-05,Part-C303,103
2025-05-06,Part-C303,118
2025-05-07,Part-C303,118
2025-05-08,Part-C303,123
2025-05-09,Part-C303,145
2025-05-10,Part-C303,129
2025-05-11,Part-C303,103
2025-05-12,Part-C303,102
2025-05-13,Part-C303,99
2025-05-14,Part-C303,107
2025-05-15,Part-C303,137
2025-05-16,Part-C303,148
2025-05-17,Part-C303,114
2025-05-18,Part-C303,116
2025-05-19,Part-C303,99
2025-05-20,Part-C303,103
2025-05-21,Part-C303,114
2025-05-22,Part-C303,123
2025-05-23,Part-C303,134
2025-05-24,Part-C303,119
2025-05-25,Part-C303,114
2025-05-26,Part-C303,104
2025-05-27,Part-C303,105
2025-05-28,Part-C303,112
2025-05-29,Part-C303,126
2025-05-30,Part-C303,140
2025-05-31,Part-C303,130
2025-06-01,Part-C303,105
2025-06-02,Part-C303,105
2025-06-03,Part-C303,113
2025-06-04,Part-C303,106
2025-06-05,Part-C303,135
2025-06-06,Part-C303,129
2025-06-07,Part-C303,130
2025-06-08,Part-C303,107
2025-06-09,Part-C303,90
2025-06-10,Part-C303,95
2025-06-11,Part-C303,120
2025-06-12,Part-C303,133
2025-06-13,Part-C303,127
2025-06-14,Part-C303,131
2025-06-15,Part-C303,100
2025-06-16,Part-C303,105
2025-06-17,Part-C303,98
2025-06-18,Part-C303,115
2025-06-19,Part-C303,132
2025-06-20,Part-C303,128
2025-06-21,Part-C303,123
2025-06-22,Part-C303,122
2025-06-23,Part-C303,101
2025-06-24,Part-C303,115
2025-06-25,Part-C303,111
2025-06-26,Part-C303,136
2025-06-27,Part-C303,147
2025-06-28,Part-C303,107
2025-06-29,Part-C303,108
